"","CN","PLT_CN","PREV_TRE_CN","INVYR","CYCLE","STATECD","UNITCD","COUNTYCD","PLOT","SUCP","cycle_aw","SUBP","TREE","CONDID","PREVCOND","STATUSCD","SPCD","SPGRPCD","DIA","DIACALC","DIAHTCD","HT","HTCD","AGENTCD","BHAGE","CCLCD","DECAYCD"
"36",51616578020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,16,1,NA,1,"814",48,1.1,1.1,2,3,1,NA,NA,5,NA
"37",51616579020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",2,17,1,NA,1,"106",23,4.4,4.4,2,12,1,NA,NA,4,NA
"38",51616581020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,2,1,NA,2,"814",48,12.2,12.2,2,24,1,NA,NA,NA,2
"39",51616582020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,3,1,NA,1,"66",23,24.1,24.1,2,34,1,NA,NA,2,NA
"40",51616583020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,5,1,NA,1,"66",23,10.6,10.6,2,32,1,NA,NA,3,NA
"41",51616584020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,6,1,NA,1,"106",23,6.6,6.6,2,22,1,NA,NA,3,NA
"42",51616585020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,7,1,NA,2,"814",48,5.3,5.3,2,16,1,60,NA,NA,1
"43",51616586020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,8,1,NA,2,"814",48,5.2,5.2,2,14,1,60,NA,NA,2
"44",51616587020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,10,1,NA,1,"106",23,6.4,6.4,2,21,1,NA,NA,3,NA
"45",51616588020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,11,1,NA,1,"106",23,6.9,6.9,2,21,1,NA,NA,2,NA
"46",51616589020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,12,1,NA,1,"106",23,6.2,6.2,2,19,1,NA,NA,3,NA
"47",51616590020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,27,1,NA,1,"814",48,1.6,1.6,2,6,1,NA,NA,5,NA
"48",51616591020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,28,1,NA,1,"814",48,3,3,2,16,1,NA,NA,3,NA
"49",51616592020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,29,1,NA,1,"814",48,2.9,2.9,2,12,1,NA,NA,3,NA
"50",51616593020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,30,1,NA,1,"106",23,3.8,3.8,2,14,1,NA,NA,3,NA
"51",51616594020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,31,1,NA,1,"106",23,1.9,1.9,2,7,1,NA,NA,4,NA
"52",51616595020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,32,1,NA,1,"106",23,2.6,2.6,2,10,1,NA,NA,4,NA
"53",51616596020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,33,1,NA,1,"814",48,4.4,4.4,2,14,1,NA,NA,4,NA
"54",51616597020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,34,1,NA,1,"814",48,1.8,1.8,2,6,1,NA,NA,5,NA
"55",51616598020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",3,35,1,NA,1,"814",48,1.6,1.6,2,8,1,NA,NA,4,NA
"56",51616599020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,1,1,NA,1,"66",23,13.3,13.3,2,20,1,NA,NA,3,NA
"57",51616600020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,2,1,NA,1,"66",23,12.6,12.6,2,18,1,NA,NA,3,NA
"58",51616601020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,3,1,NA,1,"106",23,6.7,6.7,2,21,1,NA,NA,3,NA
"59",51616602020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,4,1,NA,1,"106",23,8.2,8.2,2,22,1,NA,NA,3,NA
"60",51616603020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,5,1,NA,1,"66",23,7.2,7.2,2,17,1,NA,NA,4,NA
"61",51616604020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,6,1,NA,2,"106",23,NA,8.8,2,NA,NA,10,NA,NA,NA
"62",51616605020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,7,1,NA,1,"66",23,11.2,11.2,2,20,1,NA,NA,3,NA
"63",51616606020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,8,1,NA,1,"66",23,8.3,8.3,2,17,1,NA,NA,4,NA
"64",51616607020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,9,1,NA,1,"66",23,13.3,13.3,2,24,1,NA,NA,3,NA
"65",51616611020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,13,1,NA,1,"66",23,9.7,9.7,2,16,1,NA,NA,3,NA
"66",51616612020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,14,1,NA,1,"66",23,11.8,11.8,2,22,1,NA,NA,3,NA
"67",51616608020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,10,1,NA,1,"66",23,9.8,9.8,2,23,1,NA,NA,3,NA
"68",51616609020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,11,1,NA,1,"66",23,12.9,12.9,2,25,1,NA,NA,3,NA
"69",51616610020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,12,1,NA,1,"106",23,12.3,12.3,2,28,1,NA,NA,2,NA
"70",51616613020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,21,1,NA,1,"106",23,2,2,2,6,1,NA,NA,4,NA
"71",51616614020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,22,1,NA,1,"106",23,2.1,2.1,2,9,1,NA,NA,4,NA
"72",51616615020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,23,1,NA,1,"106",23,3.2,3.2,2,11,1,NA,NA,4,NA
"73",51616616020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,24,1,NA,1,"66",23,1.7,1.7,2,8,1,NA,NA,5,NA
"74",51616617020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,25,1,NA,1,"106",23,4.1,4.1,2,16,1,NA,NA,1,NA
"75",51616618020004,39634795010690,NA,2005,"3",35,1,1,87028,"35_1_1_87028","2",4,26,1,NA,1,"66",23,2.8,2.8,2,7,1,NA,NA,5,NA
"76",51623595020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,1,1,NA,1,"122",11,5.9,5.9,1,38,1,NA,NA,3,NA
"77",51623596020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,2,1,NA,1,"122",11,6,6,1,40,1,NA,NA,3,NA
"78",51623597020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,3,1,NA,1,"122",11,8,8,1,43,1,NA,61,3,NA
"79",51623598020004,39635098010690,NA,2005,"3",35,1,6,80789,"35_1_6_80789","2",1,4,1,NA,1,"122",11,12.4,12.4,1,50,1,NA,71,3,NA
