"","SUCP","STATECD","SPCD","cycle_aw","STATUSCD","SizeClass","Treecount","ExpanFactor","TPA","DSTRBCD1","DSTRBYR1","Fire"
"56","35_1_6_90283","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"57","35_1_6_91096","NewMexico",122,"1",1,"A",4,74.96528,299.86112,NA,NA,"0"
"58","35_1_6_91096","NewMexico",122,"2",1,"A",6,74.96528,449.79168,NA,NA,"0"
"59","35_1_6_91775","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"60","35_1_6_91775","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"61","35_2_33_81977","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"62","35_2_33_81977","NewMexico",122,"2",1,"A",2,74.96528,149.93056,NA,NA,"0"
"63","35_2_33_83814","NewMexico",122,"1",1,"A",6,74.96528,449.79168,NA,NA,"0"
"64","35_2_33_83814","NewMexico",122,"2",1,"A",6,74.96528,449.79168,NA,NA,"0"
"65","35_2_33_84490","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"66","35_2_33_84490","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"67","35_2_33_91603","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"68","35_2_33_91603","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"69","35_2_33_93092","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"70","35_2_33_93092","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"71","35_2_47_81024","NewMexico",122,"1",1,"A",17,74.96528,1274.40976,NA,NA,"0"
"72","35_2_47_81024","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"73","35_2_47_82233","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"74","35_2_47_82233","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"75","35_2_47_82497","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"76","35_2_47_82497","NewMexico",122,"2",1,"A",0,74.96528,0,NA,NA,"0"
"77","35_2_47_83387","NewMexico",122,"1",1,"A",44,74.96528,3298.47232,NA,NA,"0"
"78","35_2_47_83387","NewMexico",122,"2",1,"A",32,74.96528,2398.88896,NA,NA,"0"
"79","35_2_47_87144","NewMexico",122,"1",1,"A",9,74.96528,674.68752,NA,NA,"0"
"80","35_2_47_87144","NewMexico",122,"2",1,"A",5,74.96528,374.8264,NA,NA,"0"
"81","35_2_47_88271","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"82","35_2_47_88271","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"83","35_2_47_89310","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"84","35_2_47_89310","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"85","35_2_47_89339","NewMexico",122,"1",1,"A",1,74.96528,74.96528,NA,NA,"0"
"86","35_2_47_89339","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
"87","35_2_47_90798","NewMexico",122,"1",1,"A",0,74.96528,0,NA,NA,"0"
"88","35_2_47_90798","NewMexico",122,"2",1,"A",1,74.96528,74.96528,NA,NA,"0"
